Year,Statistic,Name,Team,#,Top 25
2025,Base on Balls,To Be Determined,--,--,Top 25
2025,Batting Average,To Be Determined,--,--,Top 25
2025,Doubles,To Be Determined,--,--,Top 25
2025,Hits,To Be Determined,--,--,Top 25
2025,Home Runs,To Be Determined,--,--,Top 25
2025,On Base Percentage,To Be Determined,--,--,Top 25
2025,RBI,To Be Determined,--,--,Top 25
2025,Runs,To Be Determined,--,--,Top 25
2025,Slugging Average,To Be Determined,--,--,Top 25
2025,Stolen Bases,To Be Determined,--,--,Top 25
2025,Total Bases,To Be Determined,--,--,Top 25
2025,Triples,To Be Determined,--,--,Top 25
2024,Base on Balls,Aaron Judge,New York,133,Top 25
2024,Batting Average,Bobby Witt Jr.,Kansas City,.332,Top 25
2024,Doubles,Jarren Duran,Boston,48,Top 25
2024,Hits,Bobby Witt Jr.,Kansas City,211,Top 25
2024,Home Runs,Aaron Judge,New York,58,Top 25
2024,On Base Percentage,Aaron Judge,New York,.458,Top 25
2024,RBI,Aaron Judge,New York,144,Top 25
2024,Runs,Juan Soto,New York,128,Top 25
2024,Slugging Average,Aaron Judge,New York,.701,Top 25
2024,Stolen Bases,Jose Caballero,Tampa Bay,44,Top 25
2024,Total Bases,Aaron Judge,New York,392,Top 25
2024,Triples,Jarren Duran,Boston,14,Top 25
2023,Base on Balls,J.P. Crawford,Seattle Mariners,94,Top 25
2023,Batting Average,Yandy Díaz,Tampa Bay Rays,.330,Top 25
2023,Doubles,Corey Seager,Texas Rangers,42,Top 25
2023,Hits,Marcus Semien,Texas Rangers,185,Top 25
2023,Home Runs,Shohei Ohtani,Los Angeles Angels,44,Top 25
2023,On Base Percentage,Shohei Ohtani,Los Angeles Angels,.412,Top 25
2023,RBI,Kyle Tucker,Houston Astros,112,Top 25
2023,Runs,Marcus Semien,Texas Rangers,122,Top 25
2023,Slugging Average,Shohei Ohtani,Los Angeles Angels,.654,Top 25
2023,Stolen Bases,Esteury Ruiz,Oakland Athletics,67,Top 25
2023,Total Bases,Shohei Ohtani,Los Angeles Angels,325,Top 25
2023,Triples,Bobby Witt Jr.,Kansas City Royals,11,Top 25
2022,Base on Balls,Aaron Judge,New York Yankees,111,Top 25
2022,Batting Average,Luis Arraez,Minnesota Twins,.316,Top 25
2022,Doubles,José Ramírez,Cleveland Guardians,44,Top 25
2022,Hits,Bo Bichette,Toronto Blue Jays,189,Top 25
2022,Home Runs,Aaron Judge,New York Yankees,62,Top 25
2022,On Base Percentage,Aaron Judge,New York Yankees,.425,Top 25
2022,RBI,Aaron Judge,New York Yankees,131,Top 25
2022,Runs,Aaron Judge,New York Yankees,133,Top 25
2022,Slugging Average,Aaron Judge,New York Yankees,.686,Top 25
2022,Stolen Bases,Jorge Mateo,Baltimore Orioles,35,Top 25
2022,Total Bases,Aaron Judge,New York Yankees,391,Top 25
2022,Triples,Amed Rosario,Cleveland Guardians,9,Top 25
2021,Base on Balls,Joey Gallo,Texas Rangers,111,Top 25
2021,New York Yankees,Batting Average,Yuli Gurriel,Houston Astros,.319
2021,Top 25,Doubles,Jeimer Candelario,Detroit Tigers,42
2021,Top 25,J.D. Martinez,Boston Red Sox,42,Whit Merrifield
2021,Kansas City Royals,42,Hits,Bo Bichette,Toronto Blue Jays
2021,191,Top 25,Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays
2021,48,Top 25,Salvador Perez,Kansas City Royals,48
2021,On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,.401,Top 25
2021,RBI,Salvador Perez,Kansas City Royals,121,Top 25
2021,Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123,Top 25
2021,Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,.601,Top 25
2021,Stolen Bases,Whit Merrifield,Kansas City Royals,40,Top 25
2021,Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363,Top 25
2021,Triples,Shohei Ohtani,Los Angeles Angels,8,Top 25
