al_team_title,al_team_link,nl_team_title,nl_team_link
Baltimore Orioles,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=BAL,Arizona Diamondbacks,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=ARI
Boston Red Sox,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=BOS,Atlanta Braves,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=ATL
Chicago White Sox,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=CHA,Chicago Cubs,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=CHN
Cleveland Guardians,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=CLG,Cincinnati Reds,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=CN5
Detroit Tigers,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=DET,Colorado Rockies,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=COL
Houston Astros,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=HOA,Los Angeles Dodgers,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=LAN
Kansas City Royals,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=KCA,Miami Marlins,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=MIA
Los Angeles Angels,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=ANG,Milwaukee Brewers,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=ML4
Minnesota Twins,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=MIN,New York Mets,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=NYN
New York Yankees,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=NYA,Philadelphia Phillies,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=PHI
Sacramento Athletics,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=ATH,Pittsburgh Pirates,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=PIT
Seattle Mariners,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=SEA,St. Louis Cardinals,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=SLN
Tampa Bay Rays,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=TBR,San Diego Padres,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=SDN
Texas Rangers,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=TEX,San Francisco Giants,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=SFN
Toronto Blue Jays,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=TOR,Washington Nationals,https://www.baseball-almanac.com/teamstats/roster.php?y=2025&t=WS0
