statistic,player_name,team_name,no,top_25,year,league,stat_title,statistic_id,player_id,year_id,league_id
Base on Balls,Joey Gallo,Texas Rangers,111.0,Top 25,2021,American League,Hitting Statistics,0,39,0,0
Batting Average,Yuli Gurriel,Houston Astros,0.319,Top 25,2021,American League,Hitting Statistics,1,92,0,0
Doubles,Jeimer Candelario,Detroit Tigers,42.0,Top 25,2021,American League,Hitting Statistics,3,38,0,0
Hits,Bo Bichette,Toronto Blue Jays,191.0,Top 25,2021,American League,Hitting Statistics,6,8,0,0
Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48.0,Top 25,2021,American League,Hitting Statistics,7,89,0,0
On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,0.401,Top 25,2021,American League,Hitting Statistics,8,89,0,0
RBI,Salvador Perez,Kansas City Royals,121.0,Top 25,2021,American League,Hitting Statistics,9,77,0,0
Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123.0,Top 25,2021,American League,Hitting Statistics,10,89,0,0
Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,0.601,Top 25,2021,American League,Hitting Statistics,13,89,0,0
Stolen Bases,Whit Merrifield,Kansas City Royals,40.0,Top 25,2021,American League,Hitting Statistics,14,90,0,0
Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363.0,Top 25,2021,American League,Hitting Statistics,16,89,0,0
Triples,Shohei Ohtani,Los Angeles Angels,8.0,Top 25,2021,American League,Hitting Statistics,17,81,0,0
Base on Balls,Aaron Judge,New York Yankees,111.0,Top 25,2022,American League,Hitting Statistics,0,1,1,0
Batting Average,Luis Arraez,Minnesota Twins,0.316,Top 25,2022,American League,Hitting Statistics,1,63,1,0
Doubles,José Ramírez,Cleveland Guardians,44.0,Top 25,2022,American League,Hitting Statistics,3,45,1,0
Hits,Bo Bichette,Toronto Blue Jays,189.0,Top 25,2022,American League,Hitting Statistics,6,8,1,0
Home Runs,Aaron Judge,New York Yankees,62.0,Top 25,2022,American League,Hitting Statistics,7,1,1,0
On Base Percentage,Aaron Judge,New York Yankees,0.425,Top 25,2022,American League,Hitting Statistics,8,1,1,0
RBI,Aaron Judge,New York Yankees,131.0,Top 25,2022,American League,Hitting Statistics,9,1,1,0
Runs,Aaron Judge,New York Yankees,133.0,Top 25,2022,American League,Hitting Statistics,10,1,1,0
Slugging Average,Aaron Judge,New York Yankees,0.686,Top 25,2022,American League,Hitting Statistics,13,1,1,0
Stolen Bases,Jorge Mateo,Baltimore Orioles,35.0,Top 25,2022,American League,Hitting Statistics,14,43,1,0
Total Bases,Aaron Judge,New York Yankees,391.0,Top 25,2022,American League,Hitting Statistics,16,1,1,0
Triples,Amed Rosario,Cleveland Guardians,9.0,Top 25,2022,American League,Hitting Statistics,17,4,1,0
Base on Balls,J.P. Crawford,Seattle Mariners,94.0,Top 25,2023,American League,Hitting Statistics,0,35,2,0
Batting Average,Yandy Díaz,Tampa Bay Rays,0.33,Top 25,2023,American League,Hitting Statistics,1,91,2,0
Doubles,Corey Seager,Texas Rangers,42.0,Top 25,2023,American League,Hitting Statistics,3,18,2,0
Hits,Marcus Semien,Texas Rangers,185.0,Top 25,2023,American League,Hitting Statistics,6,64,2,0
Home Runs,Shohei Ohtani,Los Angeles Angels,44.0,Top 25,2023,American League,Hitting Statistics,7,81,2,0
On Base Percentage,Shohei Ohtani,Los Angeles Angels,0.412,Top 25,2023,American League,Hitting Statistics,8,81,2,0
RBI,Kyle Tucker,Houston Astros,112.0,Top 25,2023,American League,Hitting Statistics,9,57,2,0
Runs,Marcus Semien,Texas Rangers,122.0,Top 25,2023,American League,Hitting Statistics,10,64,2,0
Slugging Average,Shohei Ohtani,Los Angeles Angels,0.654,Top 25,2023,American League,Hitting Statistics,13,81,2,0
Stolen Bases,Esteury Ruiz,Oakland Athletics,67.0,Top 25,2023,American League,Hitting Statistics,14,26,2,0
Total Bases,Shohei Ohtani,Los Angeles Angels,325.0,Top 25,2023,American League,Hitting Statistics,16,81,2,0
Triples,Bobby Witt Jr.,Kansas City Royals,11.0,Top 25,2023,American League,Hitting Statistics,17,10,2,0
Base on Balls,Aaron Judge,New York,133.0,Top 25,2024,American League,Hitting Statistics,0,0,3,0
Batting Average,Bobby Witt Jr.,Kansas City,0.332,Top 25,2024,American League,Hitting Statistics,1,9,3,0
Doubles,Jarren Duran,Boston,48.0,Top 25,2024,American League,Hitting Statistics,3,36,3,0
Hits,Bobby Witt Jr.,Kansas City,211.0,Top 25,2024,American League,Hitting Statistics,6,9,3,0
Home Runs,Aaron Judge,New York,58.0,Top 25,2024,American League,Hitting Statistics,7,0,3,0
On Base Percentage,Aaron Judge,New York,0.458,Top 25,2024,American League,Hitting Statistics,8,0,3,0
RBI,Aaron Judge,New York,144.0,Top 25,2024,American League,Hitting Statistics,9,0,3,0
Runs,Juan Soto,New York,128.0,Top 25,2024,American League,Hitting Statistics,10,46,3,0
Slugging Average,Aaron Judge,New York,0.701,Top 25,2024,American League,Hitting Statistics,13,0,3,0
Stolen Bases,Jose Caballero,Tampa Bay,44.0,Top 25,2024,American League,Hitting Statistics,14,44,3,0
Total Bases,Aaron Judge,New York,392.0,Top 25,2024,American League,Hitting Statistics,16,0,3,0
Triples,Jarren Duran,Boston,14.0,Top 25,2024,American League,Hitting Statistics,17,36,3,0
Base on Balls,To Be Determined,--,,Top 25,2025,American League,Hitting Statistics,0,85,4,0
Batting Average,To Be Determined,--,,Top 25,2025,American League,Hitting Statistics,1,85,4,0
Doubles,To Be Determined,--,,Top 25,2025,American League,Hitting Statistics,3,85,4,0
