team_id,team_name
0,--
1,Arizona
2,Arizona Diamondbacks
3,Atlanta
4,Atlanta Braves
5,Baltimore Orioles
6,Boston
7,Chicago White Sox
8,Cincinnati
9,Cleveland
10,Cleveland Guardians
11,Cleveland Indians
12,Colorado
13,Colorado Rockies
14,Detroit
15,Detroit Tigers
16,Houston
17,Houston Astros
18,Kansas City
19,Kansas City Royals
20,Los Angeles
21,Los Angeles Angels
22,Los Angeles Dodgers
23,Miami
24,Miami Marlins
25,Milwaukee Brewers
26,Minnesota Twins
27,New York
28,New York Mets
29,New York Yankees
30,Oakland
31,Oakland Athletics
32,Philadelphia
33,Philadelphia Phillies
34,Pittsburgh Pirates
35,San Diego
36,San Diego Padres
37,San Francisco
38,San Francisco Giants
39,Seattle Mariners
40,St. Louis
41,St. Louis Cardinals
42,Tampa Bay
43,Tampa Bay Rays
44,Texas Rangers
45,Toronto
46,Toronto Blue Jays
47,Washington Nationals
