Year,Statistic,Name,Team,#,Top 25
2025,Base on Balls,To Be Determined,--,--,Top 25
2025,Batting Average,To Be Determined,--,--,Top 25
2025,Doubles,To Be Determined,--,--,Top 25
2025,Hits,To Be Determined,--,--,Top 25
2025,Home Runs,To Be Determined,--,--,Top 25
2025,On Base Percentage,To Be Determined,--,--,Top 25
2025,RBI,To Be Determined,--,--,Top 25
2025,Runs,To Be Determined,--,--,Top 25
2025,Slugging Average,To Be Determined,--,--,Top 25
2025,Stolen Bases,To Be Determined,--,--,Top 25
2025,Total Bases,To Be Determined,--,--,Top 25
2025,Triples,To Be Determined,--,--,Top 25
2024,Base on Balls,Kyle Schwarber,Philadelphia,105,Top 25
2024,Batting Average,Luis Arraez,Miami,.314,Top 25
2024,San Diego,Doubles,Ezequiel Tovar,Colorado,45
2024,Top 25,Hits,Luis Arraez,Miami,200
2024,Top 25,San Diego,Home Runs,Shohei Ohtani,Los Angeles
2024,54,Top 25,On Base Percentage,Shohei Ohtani,Los Angeles
2024,.390,Top 25,RBI,Shohei Ohtani,Los Angeles
2024,130,Top 25,Runs,Shohei Ohtani,Los Angeles
2024,134,Top 25,Slugging Average,Shohei Ohtani,Los Angeles
2024,.646,Top 25,Stolen Bases,Elly De La Cruz,Cincinnati
2024,67,Top 25,Total Bases,Shohei Ohtani,Los Angeles
2024,411,Top 25,Triples,Corbin Carroll,Arizona
2024,14,Top 25
2023,Base on Balls,Juan Soto,San Diego Padres,132,Top 25
2023,Batting Average,Luis Arraez,Miami Marlins,.354,Top 25
2023,Doubles,Freddie Freeman,Los Angeles Dodgers,59,Top 25
2023,Hits,Ronald Acuña Jr.,Atlanta Braves,217,Top 25
2023,Home Runs,Matt Olson,Atlanta Braves,54,Top 25
2023,On Base Percentage,Ronald Acuña Jr.,Atlanta Braves,.416,Top 25
2023,RBI,Matt Olson,Atlanta Braves,139,Top 25
2023,Runs,Ronald Acuña Jr.,Atlanta Braves,149,Top 25
2023,Slugging Average,Matt Olson,Atlanta Braves,.604,Top 25
2023,Stolen Bases,Ronald Acuña Jr.,Atlanta Braves,73,Top 25
2023,Total Bases,Ronald Acuña Jr.,Atlanta Braves,383,Top 25
2023,Triples,Corbin Carroll,Arizona Diamondbacks,10,Top 25
2022,Base on Balls,Juan Soto,Washington Nationals,135,Top 25
2022,San Diego Padres,Batting Average,Jeff McNeil,New York Mets,.326
2022,Top 25,Doubles,Freddie Freeman,Los Angeles Dodgers,44
2022,Top 25,Hits,Freddie Freeman,Los Angeles Dodgers,11
2022,Top 25,Home Runs,Kyle Schwarber,Philadelphia Phillies,46
2022,Top 25,On Base Percentage,Freddie Freeman,Los Angeles Dodgers,.407
2022,Top 25,RBI,Pete Alonso,New York Mets,131
2022,Top 25,Runs,Mookie Betts,Los Angeles Dodgers,117
2022,Top 25,Freddie Freeman,Los Angeles Dodgers,117,Slugging Average
2022,Paul Goldschmidt,St. Louis Cardinals,.578,Top 25,Stolen Bases
2022,Jon Berti,Miami Marlins,41,Top 25,Total Bases
2022,Austin Riley,Atlanta Braves,325,Top 25,Triples
2022,Gavin Lux,Los Angeles Dodgers,7,Top 25,Brandon Nimmo
2022,New York Mets,7
2021,Base on Balls,Juan Soto,Washington Nationals,145,Top 25
2021,Batting Average,Trea Turner,Washington Nationals,.328,Top 25
2021,Los Angeles Dodgers,Doubles,Bryce Harper,Philadelphia Phillies,42
2021,Top 25,Hits,Trea Turner,Washington Nationals,195
2021,Top 25,Los Angeles Dodgers,Home Runs,Fernando Tatis Jr.,San Diego Padres
2021,42,Top 25,On Base Percentage,Juan Soto,Washington Nationals
2021,.465,Top 25,RBI,Adam Duvall,Miami Marlins
2021,113,Top 25,Atlanta Braves,Runs,Freddie Freeman
2021,Atlanta Braves,120,Top 25,Slugging Average,Bryce Harper
2021,Philadelphia Phillies,.615,Top 25,Stolen Bases,Trea Turner
2021,Washington Nationals,32,Top 25,Los Angeles Dodgers,Total Bases
2021,Trea Turner,Washington Nationals,319,Top 25,Los Angeles Dodgers
2021,Triples,David Peralta,Arizona Diamondbacks,8,Top 25
2021,Bryan Reynolds,Pittsburgh Pirates,8
