Boston Red Sox,RosterScheduleHittingPitchingFieldingStatmaster
Boston Red Sox,Game,Date | Box,Opponent,Score,Decision,Record
Boston Red Sox,1,03-27-2025,at Texas Rangers,5-2,W,1-0
Boston Red Sox,2,03-28-2025,at Texas Rangers,1-4,L,1-1
Boston Red Sox,3,03-29-2025,at Texas Rangers,3-4,L,1-2
Boston Red Sox,4,03-30-2025,at Texas Rangers,2-3,L,1-3
Boston Red Sox,5,03-31-2025,at Baltimore Orioles,5-8,L,1-4
Boston Red Sox,6,04-02-2025,at Baltimore Orioles,3-0,W,2-4
Boston Red Sox,7,04-03-2025,at Baltimore Orioles,8-4,W,3-4
Boston Red Sox,8,04-04-2025,vs St. Louis Cardinals,13-9,W,4-4
Boston Red Sox,9-I,04-06-2025,vs St. Louis Cardinals,5-4,W,5-4
Boston Red Sox,10-II,04-06-2025,vs St. Louis Cardinals,18-7,W,6-4
Boston Red Sox,11,04-07-2025,vs Toronto Blue Jays,2-6,L,6-5
Boston Red Sox,12,04-08-2025,vs Toronto Blue Jays,1-6,L,6-6
Boston Red Sox,13,04-09-2025,vs Toronto Blue Jays,1-2,L,6-7
Boston Red Sox,14,04-10-2025,vs Toronto Blue Jays,4-3,W,7-7
Boston Red Sox,15,04-11-2025,at Chicago White Sox,1-11,L,7-8
Boston Red Sox,16,04-12-2025,at Chicago White Sox,2-3,L,7-9
Boston Red Sox,17,04-13-2025,at Chicago White Sox,3-1,W,8-9
Boston Red Sox,18,04-14-2025,at Tampa Bay Rays,1-16,L,8-10
Boston Red Sox,19,04-15-2025,at Tampa Bay Rays,7-4,W,9-10
Boston Red Sox,20,04-16-2025,at Tampa Bay Rays,1-0,W,10-10
Boston Red Sox,21,04-18-2025,vs Chicago White Sox,10-3,W,11-10
Boston Red Sox,22,04-19-2025,vs Chicago White Sox,4-3,W,12-10
Boston Red Sox,23,04-20-2025,vs Chicago White Sox,4-8,L,12-11
Boston Red Sox,24,04-21-2025,vs Chicago White Sox,4-2,W,13-11
Boston Red Sox,25,04-22-2025,vs Seattle Mariners,8-3,W,14-11
Boston Red Sox,26,04-23-2025,vs Seattle Mariners,5-8,L,14-12
Boston Red Sox,27,04-24-2025,vs Seattle Mariners,3-4,L,14-13
Boston Red Sox,28-I,04-26-2025,at Cleveland Guardians,4-5,L,14-14
Boston Red Sox,29-II,04-26-2025,at Cleveland Guardians,7-3,W,15-14
Boston Red Sox,30,04-27-2025,at Cleveland Guardians,13-3,W,16-14
